"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Chromium","iPod Touch","Silk","Sony PS3","Phantom","Iron"
United States of America ,30.06,27.65,13.86,12.63,6.61,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,54.19,24.6,7.71,1.61,1.54,4.77,2.69,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,60.43,16.12,13.43,2.1,1.01,3.5,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,21.42,5.17,11.1,0,0,7.35,0,17.63,18.81,8.74,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,33.65,24.98,12.97,12.83,5.94,4.38,0,1.07,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,22.39,17.81,40.37,6.97,2.43,5.14,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,31.89,26.87,15.78,13.76,5.5,2.84,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand ,43.85,18.48,11.62,6.45,6.1,9.76,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China ,28.19,43.14,3.94,2.09,0,2.33,0,2.91,2.63,0,0,0,7.1,2.33,1.93,1.13,0,0,0,0,0,0,0,0,0
Argentina ,57.95,16.92,14.33,1.78,0,4.69,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,14.95,54.04,1.74,1.19,2.19,24.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,59.8,4.15,18.84,4.82,1.89,4.37,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,44.62,23.44,10.86,6.4,1.97,6.62,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,21.06,1.55,36.54,2.18,0,7.82,0,21.46,1.62,4.21,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,39.81,22.51,17.29,8.34,3.54,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,40.13,20.95,18.14,7.12,3.09,8.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,34.5,22.92,23.76,8.89,3.4,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,44.66,10.52,16.49,4.99,2.24,14.12,0,3.5,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia ,46.44,9.03,32.7,1.85,0,2.43,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,29.8,25.22,13.9,16.86,8.41,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,19.53,44.19,10.7,7.31,7.55,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,34.47,9.88,37.75,1.65,0,5.95,0,8.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,40.52,29.41,8.52,4.09,2.97,13.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,39.46,5.57,17.65,1.39,1.28,5.27,0,13.2,7.94,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia ,66.64,13.01,9.57,3.64,1.04,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,29.97,27.21,12.68,13.98,5.93,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece ,43.12,15.34,29.92,3.74,1.67,3.55,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania ,45.11,12.99,29.81,1.91,1.05,2.86,0,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,60.31,13.95,11.17,3,2.35,6.58,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,48.43,27.34,14.2,4.69,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt ,41.26,12.72,33.53,1.51,0,2.87,0,3.32,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore ,33.85,19.35,13.07,12.63,9.19,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,37.35,14.74,19.65,4.09,1.6,2.76,5.13,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,36.41,21.89,16.3,12.75,7.18,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,37.87,7.28,39.95,1.73,0,2.53,0,8.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru ,56.16,24.67,11.69,1.75,0,2.63,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,34.87,13.14,8.82,7.05,7.64,14.93,0,0,3.68,3.28,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel ,45.24,34.62,8.79,3.1,3.64,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,47.3,8.74,20.74,3.26,5.95,2.52,0,2.76,2.87,1.04,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0
Venezuela ,53.34,14.32,23.78,1.82,0,2.56,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,33.16,29.76,16.43,12.34,2.63,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,40.46,17.5,9.12,7.91,2.99,6.53,0,2.96,4.91,5.27,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,50.55,7.35,27.54,2.38,1.77,4.09,0,3.04,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,46.55,11.29,18.65,2.92,3.97,10.07,0,2,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway ,33.47,23.29,13.56,17.09,5.28,4.08,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,39.83,17.89,13.75,11.19,7.53,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,40.06,16.36,33.96,1.61,0,2.62,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,18.13,21.69,35.52,1.55,1.51,4.65,0,6.91,4.86,2.45,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0
Bosnia and Herzegovina ,52.27,6.05,32.91,1.63,0,2.8,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,32.62,14.52,28.31,9.86,4.35,4.65,0,1.54,0,0,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0,0
Denmark ,33.43,25.51,11.7,17.4,7.32,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,37.17,21.98,14.94,14.61,4.33,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,60.13,12.36,14.52,1.98,1.78,3.1,0,2.2,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,22.12,26.13,21.32,17.99,6.41,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,32.87,27.14,11.68,9.89,4.55,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,24.84,21.69,31.74,9.5,3.3,6.06,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,31.42,32.15,28.37,0,0,2.13,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,38.04,19.63,29.19,3.02,0,2.59,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,39.86,12.54,32.06,3.55,2.5,5.28,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,19.91,24.8,10.66,5.97,1.99,4.43,0,13.57,1.39,3.12,0,13.09,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,47.51,11.53,27.33,3.59,1.22,4.39,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,57.36,6.74,20.39,2.79,3.83,3.67,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,37.64,9.05,23.33,2.88,0,1.73,2.69,19.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,11.95,2.3,24.14,0,0,3.38,0,29.64,18.6,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,8.17,5.07,12.37,3.12,0,2.7,0,36.98,21.38,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,58.75,4.74,26.79,1.34,1.34,3.35,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,34.34,7.31,23.98,1.5,1.13,6.06,0,13.58,4.15,4.35,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,60.5,9.41,14.04,4.56,2.41,3.94,0,1.65,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,42.6,19.27,16.51,4.38,3.7,7.05,0,3.08,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,43.84,10.48,30.32,2.94,0,3.59,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,57.03,11.1,23.43,1.99,0,2.13,0,1.14,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0
Azerbaijan ,51.39,7.45,5.46,1.9,1.71,4.72,2.86,21.07,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,42.85,18.15,9.95,6.48,2.59,6.12,0,7.2,2.5,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,49.59,10.59,12.19,2.97,2.51,10.66,0,5.13,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,40.92,14.46,31.84,2.59,0,2.55,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,37.19,16.73,34.5,4.47,0,3.78,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,35.62,20.51,27.63,2.53,2.05,6.49,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,61.97,4.28,9.12,1.41,0,1.05,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,40.64,14.95,16.64,5.88,3.38,8.61,0,4.11,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,47.74,11.38,22.29,1.27,0,5.75,0,5.04,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,33.75,21.11,12.01,11.23,5.11,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0
Montenegro ,47.82,7.83,24.73,3.29,1.64,6.65,0,4.93,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,48.48,14.84,20.85,3.5,1.4,4.26,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,38.23,5.01,22.33,1.93,2,4.13,0,15.38,6.12,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,45.65,20.02,18.02,7.36,2.02,3.87,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,27.34,17.48,7.96,8.82,11.26,9.69,0,12.89,1.01,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,47.04,19.36,23.26,1.35,1.36,4.11,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,51.55,16.39,14.66,6.2,1.34,5.15,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,17.55,7.17,31.15,2.82,0,3.61,0,27.16,3.21,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,41.48,16.76,28.07,5.62,0,2.99,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,51.19,13.46,18.68,4.83,1.28,3.83,0,2.06,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,44.37,9.97,15.88,3.67,2.11,4.29,2.25,14.67,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,40.97,25.74,11.25,6.39,1.4,10.69,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,43.08,12.46,31.4,4.31,0,2.38,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,72.61,3.2,12.7,2.69,1.1,1.22,1.4,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,8.02,9.54,11.56,1.5,0,1.95,0,56.1,2.44,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,64.66,6.65,16.73,1.76,0,1.57,0,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,34.35,8.6,18.22,2.13,0,2.08,1.65,30.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,7.7,1.78,44.79,2.4,2.52,34.39,0,2.44,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,33,6.28,29.03,1.76,3.71,9.43,0,11.83,2.23,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,9.19,6.73,16.12,0,0,5.41,0,38.04,3.46,17.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,32.41,14.7,13.02,8.5,6.44,16.52,0,3.18,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,47.27,16.73,17.95,4.72,2.19,5.48,0,1.9,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,24,13.73,7.36,2.67,2.38,21.48,0,2.08,5.44,16.8,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,11.81,15.4,6.36,4.38,1.24,2.53,0,55.75,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,28.88,20.63,7.86,6.04,5.49,18.68,0,4.17,2.18,2.78,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,46.66,15.01,18.87,13.38,1.86,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,50.04,18.91,13.86,8.38,2.29,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,47.26,12.85,23.23,2.5,1.4,3.59,0,3.14,1.16,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,26.59,9,34.18,1.93,1.53,9.85,0,4.1,4.42,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,16.51,6.31,32.74,2.7,0,4.86,0,19.91,9.98,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,25.23,38.38,7.83,20.12,4.35,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,43.69,12.49,23.4,4.5,1.08,4.79,0,4.67,1.1,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,36.91,10.13,16.83,3.21,2.1,8.96,0,12.13,1.51,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,47.52,18.74,17.04,6.45,1.15,3.55,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0
Cambodia ,22.45,5.15,28.44,5.52,7.41,12.53,0,4.5,6.25,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
