"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Chromium","iPod Touch","Silk","Sony PS3","Phantom","Iron"
Senegal ,39.88,15.06,29.73,3.56,1.44,3.87,0,2.94,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,10.69,9.8,21.84,2.96,1.16,5.98,0,31.13,7.08,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,29.47,6.94,17.27,9.52,3.92,13.14,0,15.78,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,38.19,4.4,39.8,5.1,2.12,7.4,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,28.85,25.1,21.35,13.63,4.93,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,39.61,24.42,11.17,12.7,2.42,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,1.09,0,0
Ethiopia ,10.65,11.44,23.03,0,1.23,1.51,0,27.54,14.64,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,17.91,43.54,7.66,24.97,2.1,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,12.87,7.85,31.49,2.22,0,4.27,0,28.17,4.83,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,37.93,20.17,12.17,9.07,6.83,10.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,42.53,5.73,28.46,5.58,2.61,6.61,0,2.96,2.04,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,38.45,9.21,32.43,2.72,0,4.58,0,5.6,1.8,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,11.21,19.91,19.3,3.31,1.26,5.45,0,28.52,2.81,4.44,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,31.52,13.5,32.27,9.84,2.78,7.18,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,31.76,45.73,14.44,2.53,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,17.62,8.63,55.39,2.04,0,2.24,0,5.82,3.46,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,36.4,25.84,16.99,5.53,2.13,7.63,0,1.59,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,22.89,11.38,20.25,5.16,6.56,6.37,0,11.7,4.33,8.89,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0
Guam ,33.8,20.41,11.4,16.24,5.02,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0
Guadeloupe ,40.08,20.3,19.06,8.81,1.43,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,18.3,20.24,14.86,3.89,0,3.77,0,24.86,5.26,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,24.18,4.98,10.41,2.11,2.86,4.9,0,40.99,2.92,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,39.79,21.82,17.99,7.69,1.55,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,37.88,26.68,11.53,11.74,3.06,4.86,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,44.58,19.84,14.53,9.53,1.61,4.54,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,28.48,6.72,46.11,3.67,0,2.82,0,7.36,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,9.73,17.21,69.46,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,25.47,31.15,13.04,20.56,4.28,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0
Aruba ,30.89,29.47,11.73,13.15,5.26,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,11.4,15.93,16.49,1.93,0,3.76,0,37.92,5.34,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,26.86,15.31,30.11,5.43,1.97,7.61,0,8.05,1.49,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,24.48,26.71,15.49,5.11,1.95,6.18,0,11.78,1.58,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,26.71,26.84,22.7,4.67,0,3.36,0,5.09,2.84,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,43.35,8.37,10.84,3.32,2.17,4.57,0,21.11,1.19,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,17.45,16.52,20.17,3.54,4.35,5.94,0,14.86,5.97,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,28.49,25.54,12.7,24.37,4.37,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,7.75,12.34,5.78,2.03,1.14,15,0,33.3,4.57,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,50.69,25.34,14.82,3.37,0,2.02,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,35.08,23.15,11.37,21.26,3.54,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0
Haiti ,28.7,24.08,16.94,8.26,2.93,5.31,0,6.15,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,40.46,9.19,22.2,2.31,1.34,2.55,0,9.37,2.19,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,40.29,19.84,22.44,5.98,1.3,6.33,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,52.49,16.93,16.94,5.42,0,2.91,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,34.01,16.54,25.41,7.23,5.03,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,51.43,22.24,12.73,5.31,1.01,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,18.51,10.27,56.08,2.62,0,2.36,0,5.1,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,36.09,8.71,20.09,3.74,1.48,3.21,0,9.32,7.25,7.02,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,29.69,14.95,29.54,16.34,2.61,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0
Rwanda ,21.58,9.09,35.78,3.84,0,2.43,0,17.69,5.21,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,31.28,21.27,23.86,14.2,1.83,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,43.32,100,100,16.43,2.64,2.64,0,0,0,0,0,5.62,0,0,0,0,0,0,0,0,0,1.62,0,0,0
Somalia ,17.46,6.61,13.52,0,0,1.5,0,43.41,9.24,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,39.68,7.63,25.45,1.35,0,2.67,0,11.74,5.77,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),10.74,10.44,16.99,3.82,1.24,6.82,0,35.23,6.07,4.09,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0
Andorra ,35.96,25.27,14.15,14.91,2.51,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,24.44,25.3,10.29,24.99,6.39,4.98,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0
Grenada ,52.15,17.14,14.65,8.63,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0
Mali ,15.25,18.86,27.7,4.07,0,4.76,0,13.39,5.69,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0
Djibouti ,35.4,10.41,24.2,2.26,1.76,2.93,0,9.83,6.28,3.76,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,36.94,8.61,9.05,3.33,2.63,5.83,1.6,24.57,2.03,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,32.37,21.45,13.98,19.75,5.76,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,6.43,6.47,10.81,1.78,0,2.89,0,48.26,13.58,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,48.31,17.17,16.65,10.67,1.35,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,48.13,21.18,17.53,5.13,0,2.81,0,1.03,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,27.85,14.57,28.52,3.21,0,4.57,0,8.71,5.47,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0
Gabon ,23.57,24.09,24.12,6.93,1.5,4.48,0,9.27,1.16,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,26.15,20.68,15.9,30.95,3.54,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,13.54,7.88,38.53,2.71,3.02,6.11,0,16.55,6.45,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,41.25,21.32,12.56,14.39,2.96,2.09,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,1.44,0,0,0
Mayotte ,41.48,20.01,22.3,4.08,0,5.11,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,21.06,33.45,19.18,15.75,5.6,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,65.87,12.69,10.22,5.7,0,2.02,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,12.8,13.59,11.18,3.64,1.51,5.93,0,29.06,9.23,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,24.95,23.37,23.96,6.71,2.22,5.65,0,5.5,2.46,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,25.56,27.37,22.3,16.71,3.25,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,7.06,16.26,8.84,2.94,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.64
Greenland ,20.23,34.44,10.35,16.47,5.69,5.99,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,14.81,26.28,10.92,2.33,0,1.88,0,27.53,4.38,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,20.22,8.49,6.03,2.33,7.45,21.88,1.22,12.05,6.75,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,18.04,22.96,12.88,3.54,1.02,3.07,0,29.84,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,8.99,10.63,28.25,2.84,1.23,3.51,0,30.21,2.43,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,33.25,36.82,9.75,12.08,2.06,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Niger ,13.11,15.88,19.03,3.15,1.12,4.93,0,19.51,9.44,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0
Congo (Republic of the),16.25,16.41,23.43,6.52,1.78,6.92,0,18.97,3.49,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,40.04,17.18,22.6,12.87,1.16,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0
Burundi ,23.11,17.13,33.28,5.18,1.03,2.79,0,7.91,6.54,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,24.37,19.21,20.97,3.99,1.33,5.56,0,17.26,3.28,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,17.91,30.65,30.17,2.53,0,4.77,0,7.85,1.75,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,38.78,25.93,23.31,6.08,0,1.91,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin ,36.4,22.06,13.42,18.89,1.98,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,37.66,16.32,31.72,6.59,1.21,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0
Sao Tome and Principe ,33.34,32.23,26.5,4.05,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,39.82,26.87,12.63,12.04,1.37,3.47,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,1,0,0,0
Vanuatu ,30.53,22.65,24.94,8.06,1.26,4.54,0,2.67,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0
Tonga ,20.23,18.9,50.36,5.85,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,36.73,19.39,32.99,2.19,0,2.58,0,2.79,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,17.68,25.68,13.56,3.86,2.11,6.08,0,15.99,4.19,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,24.89,46.38,20.95,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,38.46,18.3,28.94,9.51,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0
Guinea ,21.07,23.19,24.35,9.73,1.78,4.68,0,8.4,1.73,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,7.62,13.68,74.47,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,34.26,23.12,23.42,6.95,1.31,6.75,0,0,0,1.17,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,22.45,20.6,34.34,11.04,0,3.97,0,4.35,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,16.08,38.77,13.34,10.27,2.28,1.27,0,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,41.74,9.85,37.1,5.14,0,1.28,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,28.37,20.83,45.41,3.11,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,24.52,29.36,34.4,2.31,0,2.02,0,2.35,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,26.46,53.8,16.21,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,32.4,30.15,32.39,1.44,0,1.26,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,28.93,65.69,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,14.28,50.75,30.06,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,50.9,10.01,34.77,1.59,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,23.51,43.3,20.8,11.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,65.81,17.45,8.01,2.43,1.14,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,13.96,28.38,55.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,15,60,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard & Jan Mayen Islands ,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
