"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","Nokia","UC Browser","NetFront","Dolfin","Maxthon","TheWorld","Flock","SeaMonkey","Comodo Dragon","iPod Touch","Obigo","Iron","Windows Media Player","IEMobile","Mozilla","Chromium"
Faroe Islands ,53.79,21.47,10.71,9.43,1.3,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,16.63,15.82,36.43,4.88,3.26,4.81,7.35,0,7.85,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,10.85,19.82,21.51,8.15,5.75,3.17,18.04,0,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,43.1,21.86,16.24,7.83,3.42,3.85,0,0,0,0,0,0,1.03,1.09,0,0,0,0,0,0,0,0,0,0
Barbados ,28.32,35.5,26.53,5.07,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,37.07,32.78,14.86,9.71,1.21,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,51.16,17.23,15.97,7.8,1.26,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,45.16,24.43,16.81,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,8.02,15.21,13.46,1.46,0,1.01,52.69,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,16.09,12.74,37.65,1.57,0,0,23,0,5.54,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,21.33,21.98,40.46,9.2,2.62,1.74,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,20.01,12.81,49.02,2.62,1.25,0,10,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,25.08,12.15,20.63,2.63,1.02,1.53,22.21,0,13.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,12.69,29.64,42.5,4.14,0,1.44,2.5,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,49.76,20.48,20.34,4.77,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,19.53,8.51,18.76,2.46,0,0,42.55,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,16.63,9.91,64.16,1.39,0,0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,28.09,11.05,28.21,3.85,1.16,0,19.61,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,45.38,22.17,23.61,3.15,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,23,26.88,35.89,2.5,0,0,7.28,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,44.33,20.04,15.69,14.15,1.39,2.46,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0
Botswana ,42.22,16.66,28.52,2.81,0,0,4.59,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,20.47,5.48,70.73,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,37.11,16.42,23.05,3.93,0,0,10.68,0,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,45.91,23.39,16.84,9.57,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,29.36,28.05,19.34,13.36,3.34,3.25,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0
Namibia ,46.2,15.07,19.37,4.3,1.28,1.15,7.44,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,23.42,8.74,22.47,2.94,0,0,35.03,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,41.82,16.02,13.51,19.48,2.06,4.09,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,34.11,22.9,13.6,21.88,3.1,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,29.56,27.76,27.07,9.82,1.6,1.04,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,39.24,15.51,27.74,3.94,0,1.06,6.53,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,14.11,25.26,51.43,2.97,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,33.69,36.48,22.73,4.44,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,41.55,39.3,17.89,1.27,6.95,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,31.68,7.41,16.99,1.73,0,0,32.52,0,4.6,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,29.44,20.91,38.47,4.26,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,39.4,22.4,20.89,6.2,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,21.91,49.49,21.79,3.55,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,32.21,30.07,31.25,2.3,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,31.82,34.98,24.84,4.58,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,15.33,24.88,15.85,2.68,0,0,37.16,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,25.78,19.41,37.48,14.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,38.64,21.41,19.44,16.56,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,35.69,27.96,19.86,11.58,1.73,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,28.84,23.91,36.73,5.76,1.19,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,19.03,8.96,66.04,1.86,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,46.76,26.18,21.18,2.94,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,13.16,7.94,11.93,0,0,0,59.92,0,3.59,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,29.19,22.34,31.22,13.22,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,21.29,16.08,46.13,4.89,0,0,7.97,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,29.04,32.5,29.63,5.67,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,16.23,26.1,13.37,1.62,0,0,35.75,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,30.47,32.13,24.7,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,31.27,30.56,24.42,9.89,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,31.78,13.83,28.2,18.32,0,1.12,4.14,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,40.68,34.24,16.57,3.56,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,24.84,6,9.11,2.88,1.4,0,41.17,0,6.24,1.24,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0
Benin ,22.66,26.7,39.67,1.35,0,0,6.35,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,32.07,31.21,20.19,12.31,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,93.14,2.35,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,44.86,9.97,24.94,14.54,1.22,2.35,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,35.2,33.86,22.02,5.57,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,19.04,9.83,50.37,3.35,1.45,1.62,9,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,32.02,13.49,34.91,2.6,0,0,9.63,0,2.97,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,45.66,20.37,16.27,13.66,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,28.97,6.68,11.75,1.62,0,0,45.28,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,21.41,37.39,28.88,3.06,0,0,5.23,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,33.59,23.51,29.25,2.28,0,0,7.72,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,36.53,21.24,26.88,11.87,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,39.13,14.57,24.97,7.28,0,0,8.75,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,60.34,10.98,12.51,10.63,1.33,1.32,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,36.07,14.64,31.07,3.76,1.14,0,3.66,0,4.13,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),36.75,17.6,29.1,3.9,0,0,5.75,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,54.46,8.1,15.73,1.61,0,0,14.72,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,38.22,26.67,17.81,13,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,38.81,16.07,29.17,5.81,0,0,5.11,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,21.33,34.16,26.62,2.44,0,0,8.25,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,15.32,13,10.76,3.01,4.84,3.31,34.82,0,10.33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,45.65,23.98,15.46,10.49,0,0,1.12,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),40.93,10.28,30.72,3.56,0,0,8.69,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,22.8,5.81,32.16,2.93,1.24,1.08,22.1,0,6.87,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,43.38,10.55,34.57,3.42,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,49.51,11.85,28.08,4.19,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,20.19,8.17,21.4,2.19,0,0,25.9,0,13.92,3.46,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,39.06,11.55,22.83,3.23,0,1.1,15.98,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,30.53,29.52,22.52,14.21,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0
Samoa ,25.59,10.44,52.86,3.64,0,2.74,2.08,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,25.69,11.53,49.2,5.13,0,0,4.25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,36.21,20.49,31.68,8.3,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,43.3,15.28,26.94,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0
Solomon Islands ,40.96,9.75,17.61,4.84,0,1.16,15.46,0,4.61,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,32.8,19.45,38.17,6.36,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,62.85,10.57,13.21,6.26,1.97,1.25,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,38.99,14.37,30.01,3.34,2.9,1.18,4.37,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,36.43,11.48,43.68,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,47.57,13.09,23.91,10.66,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0
Eritrea ,37.58,4.61,53.08,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,42.59,30.6,18.36,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,35.62,12.08,42.75,6.29,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,40.03,16.49,31.5,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0
Sao Tome and Principe ,51.55,16.96,23.23,5.62,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,24.45,15.34,51.02,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,2.47,0,0
Chad ,19.58,3.83,10.46,2.72,0,0,27.94,0,31.18,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,47.14,10.42,26.81,5.48,7.14,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,35,33.82,26.45,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,74.59,9.26,13.62,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,26.37,19.54,49.37,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,38.97,17.53,39.7,1.25,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,28.65,24.54,41.34,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,64.12,4.13,26.42,2.05,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,17.2,30.85,44.4,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0
Niue ,29.38,23.64,37.35,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,1.22,0
Nauru ,0,4.04,92.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96
Christmas Island ,14.89,2.13,82.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island (Bouvetoya) ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
